"Store","2021-06-14","2021-06-15","2021-06-16","2021-06-17","2021-06-18","2021-06-19","2021-06-20","2021-06-21","2021-06-22","2021-06-23","2021-06-24","2021-06-25","2021-06-26","2021-06-27","2021-06-28","2021-06-29","2021-06-30","2021-07-01","2021-07-02","2021-07-03","2021-07-04","2021-07-05","2021-07-06","2021-07-07","2021-07-08","2021-07-09","2021-07-10","2021-07-11"
"Countdown Airport",5,6,10,11,7,5,0,7,8,5,8,3,5,0,6,10,5,6,7,6,0,8,6,8,9,7,3,0
"Countdown Auckland City",6,8,5,8,8,2,0,8,8,13,11,8,4,0,6,8,9,10,6,3,0,11,7,7,9,5,5,0
"Countdown Aviemore Drive",9,9,8,7,14,4,0,6,10,6,5,6,4,0,8,8,10,3,10,6,0,7,9,4,6,9,2,0
"Countdown Birkenhead",9,4,8,10,7,5,0,5,6,12,10,11,2,0,7,5,10,10,7,6,0,9,9,5,4,12,4,0
"Countdown Blockhouse Bay",6,8,7,6,6,2,0,9,4,8,10,9,2,0,6,7,9,9,7,3,0,8,8,4,10,3,2,0
"Countdown Botany Downs",9,11,7,11,9,2,0,8,8,10,9,8,4,0,7,7,8,8,6,3,0,11,6,8,9,4,5,0
"Countdown Browns Bay",14,11,6,8,14,2,0,6,5,10,9,6,4,0,10,3,5,7,12,6,0,9,5,7,7,9,5,0
"Countdown Glenfield",8,4,8,3,4,6,0,10,6,7,8,7,3,0,6,8,10,5,5,6,0,9,9,11,7,6,3,0
"Countdown Greenlane",10,10,13,7,9,4,0,5,12,8,9,11,4,0,8,12,6,5,10,2,0,8,6,10,3,5,4,0
"Countdown Grey Lynn",11,9,9,7,5,2,0,7,7,10,4,12,3,0,8,9,13,11,8,2,0,11,6,11,3,11,5,0
"Countdown Grey Lynn Central",8,11,3,6,12,6,0,6,5,13,10,9,6,0,5,11,6,11,6,6,0,10,7,11,9,7,4,0
"Countdown Hauraki Corner",7,5,8,6,6,2,0,9,13,9,4,9,4,0,5,6,9,6,10,5,0,10,8,6,7,3,6,0
"Countdown Henderson",11,9,5,6,10,5,0,8,5,8,4,8,3,0,12,8,6,8,8,6,0,5,6,8,11,12,3,0
"Countdown Highland Park",5,8,9,8,7,2,0,10,5,7,7,12,4,0,10,6,7,12,8,3,0,4,12,4,7,5,2,0
"Countdown Hobsonville",11,8,8,4,10,6,0,9,9,7,9,7,6,0,9,11,8,12,8,6,0,8,11,8,10,5,6,0
"Countdown Howick",9,10,8,11,13,3,0,9,15,12,8,6,4,0,6,8,5,8,10,5,0,9,6,9,8,9,4,0
"Countdown Kelston",7,9,11,8,10,4,0,5,13,6,12,9,5,0,5,7,6,7,6,5,0,7,9,7,15,4,2,0
"Countdown Lincoln Road",9,9,10,7,4,4,0,6,11,6,9,10,4,0,5,9,9,7,12,6,0,9,9,7,6,14,4,0
"Countdown Lynfield",12,11,7,9,6,6,0,11,6,4,9,8,4,0,7,6,12,7,9,2,0,6,10,8,7,8,2,0
"Countdown Lynmall",7,7,7,5,5,4,0,6,8,5,9,9,5,0,7,9,8,4,8,5,0,6,7,7,6,9,2,0
"Countdown Mairangi Bay",7,7,4,11,8,2,0,7,9,9,15,10,5,0,9,7,8,10,9,4,0,9,7,9,9,10,3,0
"Countdown Mangere East",9,9,7,9,6,4,0,6,6,9,10,8,3,0,12,6,7,7,10,4,0,9,5,6,10,8,3,0
"Countdown Mangere Mall",9,4,4,7,13,2,0,9,7,10,9,5,3,0,3,4,9,7,7,4,0,7,7,9,7,6,6,0
"Countdown Manukau",8,9,5,8,5,6,0,5,9,9,3,10,6,0,7,8,10,10,8,6,0,5,11,8,5,8,6,0
"Countdown Manukau Mall",8,10,8,4,8,5,0,8,11,10,8,8,2,0,11,12,12,6,9,3,0,5,7,6,6,10,5,0
"Countdown Manurewa",6,8,7,8,11,4,0,8,5,7,11,12,2,0,8,9,5,8,8,6,0,9,8,10,7,6,2,0
"Countdown Meadowbank",11,4,8,12,7,3,0,7,7,8,7,9,5,0,11,5,6,8,10,4,0,11,6,10,4,9,5,0
"Countdown Meadowlands",6,9,12,6,11,3,0,10,10,9,8,6,3,0,8,10,5,11,7,2,0,9,8,5,5,8,4,0
"Countdown Metro Albert Street",6,5,7,5,2,0,0,5,5,3,3,3,0,0,3,6,6,4,3,0,0,4,2,3,5,5,0,0
"Countdown Metro Halsey Street",3,4,2,4,3,0,0,7,5,3,9,4,0,0,4,3,3,2,3,0,0,2,3,4,4,5,0,0
"Countdown Milford",9,5,12,6,9,2,0,5,9,10,6,6,3,0,11,4,10,5,11,3,0,7,12,11,10,7,6,0
"Countdown Mt Eden",9,6,10,5,6,5,0,10,11,10,4,11,3,0,3,6,10,8,13,6,0,5,5,5,8,8,5,0
"Countdown Mt Roskill",6,9,6,7,10,4,0,11,8,5,8,6,5,0,8,7,5,7,8,2,0,10,9,11,9,10,6,0
"Countdown Mt Wellington",9,6,8,3,8,6,0,13,12,7,12,6,3,0,8,7,7,8,9,4,0,12,9,12,6,9,2,0
"Countdown Newmarket",7,6,11,6,9,2,0,5,11,11,3,12,4,0,4,5,6,11,8,4,0,6,6,8,11,4,3,0
"Countdown Northcote",7,6,6,6,10,3,0,9,6,6,11,9,6,0,6,5,6,6,9,3,0,7,9,7,8,10,6,0
"Countdown Northwest",11,10,9,5,9,2,0,8,9,7,6,8,6,0,5,5,10,11,9,2,0,6,8,5,11,6,3,0
"Countdown Onehunga",7,7,7,11,6,6,0,4,7,8,10,9,3,0,4,6,7,8,11,2,0,12,8,6,9,7,4,0
"Countdown Pakuranga",11,8,5,6,7,2,0,8,5,8,7,10,4,0,6,10,8,10,4,3,0,10,8,8,4,8,4,0
"Countdown Papakura",7,5,4,7,5,3,0,8,6,6,5,5,3,0,5,8,7,7,7,6,0,11,8,13,10,10,6,0
"Countdown Papatoetoe",9,10,8,5,8,3,0,9,11,8,12,7,2,0,7,13,8,10,7,4,0,6,11,7,12,7,2,0
"Countdown Ponsonby",6,10,7,11,12,3,0,8,3,11,11,9,4,0,11,9,9,5,10,4,0,13,5,6,6,11,2,0
"Countdown Pt Chevalier",7,8,9,14,7,3,0,8,11,11,8,10,5,0,6,6,5,10,6,5,0,8,5,8,8,9,5,0
"Countdown Roselands",8,11,7,9,8,6,0,4,8,7,13,6,5,0,8,9,12,8,8,3,0,7,10,11,7,10,5,0
"Countdown St Johns",9,7,7,10,6,5,0,10,7,7,7,8,2,0,10,5,5,8,8,3,0,5,7,4,10,4,4,0
"Countdown St Lukes",10,6,6,12,4,2,0,5,7,6,5,8,4,0,5,6,13,5,9,2,0,7,10,5,6,6,4,0
"Countdown Sunnynook",9,7,8,8,7,2,0,8,9,9,12,10,2,0,10,10,10,5,10,5,0,6,11,6,6,9,4,0
"Countdown Sylvia Park",7,7,8,8,9,2,0,10,8,5,15,3,2,0,11,5,5,10,10,5,0,7,6,12,7,11,5,0
"Countdown Takanini",6,10,10,3,15,5,0,8,10,8,9,8,5,0,8,9,10,6,10,5,0,5,6,5,9,5,3,0
"Countdown Takapuna",5,7,4,7,8,2,0,8,7,5,6,8,2,0,8,5,9,8,10,4,0,10,6,13,8,12,2,0
"Countdown Te Atatu",9,10,6,11,4,2,0,12,4,6,6,8,2,0,6,9,6,6,8,5,0,8,8,5,8,12,6,0
"Countdown Te Atatu South",8,7,11,7,12,5,0,9,9,7,8,6,4,0,6,8,9,5,4,2,0,9,10,5,8,10,3,0
"Countdown Three Kings",10,12,11,9,11,2,0,9,11,8,7,7,4,0,13,14,7,7,8,4,0,6,6,7,10,8,6,0
"Countdown Victoria Street West",15,7,8,13,12,5,0,4,10,9,8,10,5,0,14,9,10,6,10,2,0,8,8,8,8,11,4,0
"Countdown Westgate",7,6,6,9,5,5,0,6,10,13,7,7,6,0,5,13,10,8,8,5,0,11,8,9,8,7,6,0
"FreshChoice Glen Eden",5,6,3,2,4,0,0,5,4,3,5,2,0,0,5,4,3,3,4,0,0,3,5,8,5,3,0,0
"FreshChoice Half Moon Bay",3,5,6,2,4,0,0,3,8,5,4,4,0,0,4,3,4,6,5,0,0,6,5,4,8,3,0,0
"FreshChoice Mangere Bridge",7,5,3,2,5,0,0,4,6,4,6,5,0,0,8,3,6,2,6,0,0,5,3,7,2,3,0,0
"FreshChoice Otahuhu",4,2,5,5,5,0,0,4,2,4,3,3,0,0,4,2,5,2,5,0,0,5,4,3,5,3,0,0
"FreshChoice Ranui",3,5,3,7,5,0,0,4,4,6,5,5,0,0,3,4,5,5,2,0,0,4,7,6,8,4,0,0
"SuperValue Avondale",3,2,6,6,4,0,0,3,8,5,3,3,0,0,4,5,2,5,5,0,0,5,5,5,5,5,0,0
"SuperValue Flatbush",6,7,4,3,5,0,0,4,6,4,3,7,0,0,7,5,3,5,3,0,0,5,4,5,4,3,0,0
"SuperValue Palomino",4,2,2,6,3,0,0,7,6,6,5,4,0,0,6,4,3,5,5,0,0,5,5,5,7,7,0,0
"SuperValue Papakura",4,6,4,5,5,0,0,7,4,3,6,3,0,0,3,4,6,2,6,0,0,6,6,6,3,6,0,0
"SuperValue Titirangi",3,3,4,3,4,0,0,7,4,2,5,6,0,0,2,6,6,3,3,0,0,3,4,7,7,5,0,0
